Signal Legend:

Key        Signal Name

0        = data0[0..13]
1        = data0[14]
2        = data0[15]

Data Table:

Signals-> 0     1 2 

sample

-1024     3EC1h 0 0 
-1023     004Eh 0 0 
-1022     004Fh 0 0 
-1021     0052h 0 0 
-1020     3ED9h 0 0 
-1019     0050h 0 0 
-1018     004Dh 0 0 
-1017     0051h 0 0 
-1016     3EE6h 0 0 
-1015     004Dh 0 0 
-1014     004Eh 0 0 
-1013     0052h 0 0 
-1012     3EC9h 0 0 
-1011     004Eh 0 0 
-1010     004Fh 0 0 
-1009     0053h 0 0 
-1008     3EDDh 0 0 
-1007     0050h 0 0 
-1006     004Dh 0 0 
-1005     0052h 0 0 
-1004     3EEBh 0 0 
-1003     004Dh 0 0 
-1002     004Bh 0 0 
-1001     0052h 0 0 
-1000     3EF8h 0 0 
-999      0049h 0 0 
-998      004Ch 0 0 
-997      0055h 0 0 
-996      3EE6h 0 0 
-995      0052h 0 0 
-994      0046h 0 0 
-993      0052h 0 0 
-992      3EE2h 0 0 
-991      004Bh 0 0 
-990      004Dh 0 0 
-989      0052h 0 0 
-988      3EC0h 0 0 
-987      004Eh 0 0 
-986      004Dh 0 0 
-985      0051h 0 0 
-984      3EE2h 0 0 
-983      004Dh 0 0 
-982      004Eh 0 0 
-981      0055h 0 0 
-980      3ED2h 0 0 
-979      004Ch 0 0 
-978      004Dh 0 0 
-977      0053h 0 0 
-976      3ED9h 0 0 
-975      004Fh 0 0 
-974      004Ch 0 0 
-973      0054h 0 0 
-972      3ED8h 0 0 
-971      004Eh 0 0 
-970      004Bh 0 0 
-969      0049h 0 0 
-968      3EE6h 0 0 
-967      004Bh 0 0 
-966      004Ch 0 0 
-965      0054h 0 0 
-964      3EE6h 0 0 
-963      004Ah 0 0 
-962      004Dh 0 0 
-961      0057h 0 0 
-960      3EEAh 0 0 
-959      004Eh 0 0 
-958      004Dh 0 0 
-957      0056h 0 0 
-956      3ED8h 0 0 
-955      004Fh 0 0 
-954      004Ch 0 0 
-953      0051h 0 0 
-952      3EE2h 0 0 
-951      004Fh 0 0 
-950      004Eh 0 0 
-949      0054h 0 0 
-948      3EDEh 0 0 
-947      004Fh 0 0 
-946      004Dh 0 0 
-945      0051h 0 0 
-944      3ECFh 0 0 
-943      0052h 0 0 
-942      004Ah 0 0 
-941      0051h 0 0 
-940      3ED5h 0 0 
-939      004Fh 0 0 
-938      0047h 0 0 
-937      0051h 0 0 
-936      3ECEh 0 0 
-935      0050h 0 0 
-934      004Dh 0 0 
-933      0053h 0 0 
-932      3ED8h 0 0 
-931      004Ch 0 0 
-930      004Fh 0 0 
-929      0053h 0 0 
-928      3ECEh 0 0 
-927      004Fh 0 0 
-926      004Ah 0 0 
-925      0051h 0 0 
-924      3EE0h 0 0 
-923      004Dh 0 0 
-922      0050h 0 0 
-921      0053h 0 0 
-920      3EF4h 0 0 
-919      004Ch 0 0 
-918      004Fh 0 0 
-917      0050h 0 0 
-916      3EE3h 0 0 
-915      004Dh 0 0 
-914      004Eh 0 0 
-913      0051h 0 0 
-912      3EA9h 0 0 
-911      004Eh 0 0 
-910      004Dh 0 0 
-909      0051h 0 0 
-908      3EE3h 0 0 
-907      004Dh 0 0 
-906      004Ch 0 0 
-905      0055h 0 0 
-904      3EDCh 0 0 
-903      004Eh 0 0 
-902      004Dh 0 0 
-901      0050h 0 0 
-900      3ED3h 0 0 
-899      004Eh 0 0 
-898      004Bh 0 0 
-897      0051h 0 0 
-896      3ED6h 0 0 
-895      0049h 0 0 
-894      004Dh 0 0 
-893      0052h 0 0 
-892      3EDFh 0 0 
-891      0053h 0 0 
-890      004Ch 0 0 
-889      0053h 0 0 
-888      3EDFh 0 0 
-887      004Ch 0 0 
-886      004Dh 0 0 
-885      0050h 0 0 
-884      3EDBh 0 0 
-883      0051h 0 0 
-882      004Fh 0 0 
-881      0055h 0 0 
-880      3EE2h 0 0 
-879      004Dh 0 0 
-878      004Dh 0 0 
-877      0052h 0 0 
-876      3EE0h 0 0 
-875      0050h 0 0 
-874      004Dh 0 0 
-873      0052h 0 0 
-872      3EE7h 0 0 
-871      004Ch 0 0 
-870      004Ch 0 0 
-869      0052h 0 0 
-868      3EFBh 0 0 
-867      0052h 0 0 
-866      004Dh 0 0 
-865      0050h 0 0 
-864      3EF1h 0 0 
-863      004Dh 0 0 
-862      004Eh 0 0 
-861      0052h 0 0 
-860      3EDFh 0 0 
-859      004Dh 0 0 
-858      0051h 0 0 
-857      0053h 0 0 
-856      3EDEh 0 0 
-855      004Ch 0 0 
-854      004Dh 0 0 
-853      0052h 0 0 
-852      3ED8h 0 0 
-851      004Eh 0 0 
-850      004Dh 0 0 
-849      0051h 0 0 
-848      3EC6h 0 0 
-847      004Eh 0 0 
-846      004Dh 0 0 
-845      0052h 0 0 
-844      3EFFh 0 0 
-843      0048h 0 0 
-842      004Dh 0 0 
-841      004Fh 0 0 
-840      3EDFh 0 0 
-839      004Eh 0 0 
-838      004Dh 0 0 
-837      0053h 0 0 
-836      3F02h 0 0 
-835      004Ch 0 0 
-834      004Dh 0 0 
-833      0054h 0 0 
-832      3EE9h 0 0 
-831      004Dh 0 0 
-830      004Eh 0 0 
-829      0052h 0 0 
-828      3EEFh 0 0 
-827      004Dh 0 0 
-826      004Dh 0 0 
-825      0051h 0 0 
-824      3F25h 0 0 
-823      004Eh 0 0 
-822      004Bh 0 0 
-821      0052h 0 0 
-820      3EF3h 0 0 
-819      004Eh 0 0 
-818      004Dh 0 0 
-817      0050h 0 0 
-816      3EEFh 0 0 
-815      004Ah 0 0 
-814      004Eh 0 0 
-813      0051h 0 0 
-812      3EECh 0 0 
-811      004Eh 0 0 
-810      004Eh 0 0 
-809      0055h 0 0 
-808      3EF1h 0 0 
-807      004Dh 0 0 
-806      004Eh 0 0 
-805      0051h 0 0 
-804      3ED9h 0 0 
-803      004Fh 0 0 
-802      004Bh 0 0 
-801      004Fh 0 0 
-800      3EDDh 0 0 
-799      004Eh 0 0 
-798      004Ch 0 0 
-797      0054h 0 0 
-796      3EDCh 0 0 
-795      0054h 0 0 
-794      004Ch 0 0 
-793      0055h 0 0 
-792      3EDAh 0 0 
-791      004Eh 0 0 
-790      004Dh 0 0 
-789      004Dh 0 0 
-788      3EEBh 0 0 
-787      004Dh 0 0 
-786      004Eh 0 0 
-785      0051h 0 0 
-784      3EE8h 0 0 
-783      004Fh 0 0 
-782      004Dh 0 0 
-781      0074h 0 0 
-780      3F0Fh 0 0 
-779      004Eh 0 0 
-778      004Ch 0 0 
-777      0051h 0 0 
-776      3EECh 0 0 
-775      004Eh 0 0 
-774      004Eh 0 0 
-773      0052h 0 0 
-772      3EDEh 0 0 
-771      004Bh 0 0 
-770      004Ch 0 0 
-769      004Eh 0 0 
-768      3EDCh 0 0 
-767      004Dh 0 0 
-766      004Dh 0 0 
-765      0051h 0 0 
-764      3EDCh 0 0 
-763      004Eh 0 0 
-762      004Dh 0 0 
-761      0052h 0 0 
-760      3ED7h 0 0 
-759      004Fh 0 0 
-758      004Eh 0 0 
-757      004Fh 0 0 
-756      3EDFh 0 0 
-755      004Eh 0 0 
-754      004Dh 0 0 
-753      0052h 0 0 
-752      3EE5h 0 0 
-751      004Eh 0 0 
-750      004Bh 0 0 
-749      004Fh 0 0 
-748      3EDAh 0 0 
-747      004Bh 0 0 
-746      004Fh 0 0 
-745      0053h 0 0 
